"";"OB_0";"OB_1";"OB_2";"OB_4";"OB_5";"OB_9";"OB_10";"OB_11";"OB_15";"OB_16";"OB_19";"OB_20";"OB_22";"OB_25";"OB_26";"OB_27";"OB_28";"OB_29";"OB_31";"OB_33";"OB_35";"OB_36";"OB_37";"OB_39";"OB_40";"OB_41";"OB_43";"OB_45";"OB_47";"OB_50";"OB_51";"OB_52";"OB_53";"OB_55";"OB_56";"OB_57";"OB_60";"OB_61";"OB_62";"OB_63";"OB_64";"OB_65";"OB_66";"OB_68";"OB_69";"OB_71";"OB_72";"OB_74";"OB_78";"OB_80";"OB_82";"OB_84";"OB_86";"OB_87";"OB_88";"OB_89";"OB_90"
"OB_0";0;0,0329746;-0,0406713;-0,0335859;-0,0140777;0,0320178;0,0146892;-0,00446632;-0,00707755;0,0304558;-0,015937;-0,00182418;0,00430301;-0,018121;-0,0138902;0,0177861;-0,0335877;0,0137543;0,00158506;-0,0132004;0,0202805;0,00884744;-0,0117113;-0,00393349;-0,00317613;0,012074;-0,0284627;-0,0170492;-0,00122046;-0,0218646;-0,0283803;-0,0270136;-0,00119269;-0,00327798;-0,0324807;-0,0194214;-0,031962;-0,0413085;-0,021722;-0,032279;-0,0278282;-0,0215482;-0,0421496;-0,0475312;-0,000480668;-0,0359698;-0,0517034;-0,0405879;-0,025142;-0,0160251;-0,038369;-0,0149142;-0,017691;-0,017705;-0,0122771;-0,0196459;-0,0111218
"OB_1";0,0329746;0;-0,019392;-0,0161998;-0,0007021;0,00579038;-0,00997868;0,0228066;-0,0279898;0,0202047;-0,00585916;0,00801222;0,0241999;-0,00268939;-0,00357413;-0,00866012;-0,0166676;0,0163439;0,0114505;-0,0184159;0,00280912;0,0167474;0,00124451;0,000583918;-0,0022663;-0,0109987;-0,0409965;0,00697018;0,0112689;-0,0350273;-0,00394747;0,013751;-0,0114095;-0,00767689;-0,0249457;-0,036194;-0,034225;-0,0154758;-0,0259529;-0,0257967;-0,0320409;-0,0238223;-0,0314963;-0,0462801;-0,0135938;-0,00681704;-0,0529183;-0,0289979;-0,0524564;-0,0123384;-0,0306719;-0,0360009;-0,0471972;-0,00399433;-0,00614439;-0,025153;-0,00161975
"OB_2";-0,0406713;-0,019392;0;0,0144229;-0,0179765;-0,0361126;0,0218415;-0,0429316;-0,0272092;-0,0400327;-0,00495092;-0,0471725;-0,0146347;-0,0419992;-0,0234204;-0,00783102;0,0794619;-0,0577923;-0,0499825;0,0763985;-0,044363;-0,042036;-0,0423695;-0,0239242;-0,0371796;-0,0361016;-0,0595986;-0,0455001;-0,0332085;-0,00922842;0,00621045;-0,0268577;-0,00872644;0,0770611;-0,0274382;-0,0053369;0,0149151;-0,0138727;-0,025534;-0,016365;0,000145363;0,0272873;-0,0343451;0,0416236;-0,00572138;-0,015626;-0,00975287;-0,00799229;-0,0440427;-0,00204187;0,00551243;-0,0326629;0,0893561;-0,0190037;-0,0249996;0,0581966;0,0132526
"OB_4";-0,0335859;-0,0161998;0,0144229;0;0,00177263;-0,0435076;-0,00781372;-0,0401073;0,0514912;-0,0168995;-0,0181059;-0,0394288;-0,0130057;-0,0298959;-0,0324981;-0,0180198;-0,00486712;-0,0388262;-0,0336323;-0,00127966;-0,0378685;-0,0360537;0,0279249;-0,0298367;-0,0216035;-0,0354721;-0,0507083;-0,0103397;-0,034798;-0,019399;-0,0247995;0,0179593;-0,0075638;-0,00362892;0,0765793;-0,00371583;-0,0236657;-0,0376686;-0,0158539;0,00711139;0,0678237;-0,0312203;-0,0199142;-0,00208252;-0,0243192;-0,00109921;0,0313498;0,055556;-0,00119042;-0,000576239;-0,0142287;-0,00638052;-0,016009;0,037189;-0,0197195;0,024494;-0,0250247
"OB_5";-0,0140777;-0,0007021;-0,0179765;0,00177263;0;0,00643752;-0,0165181;-0,00831502;-0,0290108;0,00216163;-0,0355123;-0,00473828;0,00124398;0,00486281;0,0237113;-0,0164149;-0,0116377;-0,024684;-0,000738695;-0,010744;-0,00697967;0,0244483;0,000669831;0,0665137;0,00104781;-0,0151928;0,0036862;0,0278333;-0,00825913;-0,0337861;0,0123124;-0,0264711;-0,0190103;-0,0112425;-0,0382281;-0,0181387;-0,0214721;-0,0250889;-0,0213325;-0,0233977;-0,0337443;-0,0370449;-0,04091;-0,0435535;-0,0272538;-0,0371632;-0,0452439;-0,0309741;-0,0347276;-0,0281321;-0,0237718;-0,0429443;-0,0431499;-0,0034008;-0,00542028;-0,0346334;-0,00978109
"OB_9";0,0320178;0,00579038;-0,0361126;-0,0435076;0,00643752;0;-0,00692294;-0,0236299;-0,0401948;-0,0133734;-0,0315035;-0,0274022;-0,021466;0,00758419;0,00961121;-0,0155776;-0,0410584;0,0538867;-0,0205187;-0,0358438;0,0521208;0,00624615;0,0122305;-0,000220233;-0,0131378;0,0108292;-0,0128063;-0,0137097;0,0729792;-0,02515;-0,0198831;0,0127777;-0,0450948;-0,0182672;-0,0209363;-0,0311618;-0,0405237;-0,0443596;-0,0181502;0,000591094;-0,0381953;-0,0148683;-0,0315101;-0,0446717;-0,0139339;-0,0209895;-0,0373812;-0,0455138;-0,00657628;-0,0325081;-0,0196784;-0,0455576;-0,0225196;-0,014738;-0,0293266;-0,0274325;0,00127983
"OB_10";0,0146892;-0,00997868;0,0218415;-0,00781372;-0,0165181;-0,00692294;0;-0,0298064;-0,0463391;0,0204337;-0,000327316;-0,0345815;-0,0101886;0,0069224;-0,0175233;0,00673375;-0,0223515;0,0245947;-0,0111813;0,0264736;-0,022644;-0,0107273;-0,00609739;-0,0176169;-0,0189937;-0,01957;-0,0450476;0,0398007;-0,0103987;0,0506313;-0,0280325;-0,0241246;0,0294527;-0,0245464;-0,0267252;0,00228702;-0,0264136;-0,040203;0,0443455;-0,0373159;-0,017438;0,0220731;-0,0396254;-0,04821;0,0343045;-0,0290525;-0,049884;-0,0167161;-0,0316056;0,00490602;-0,0377993;-0,0416606;0,0223013;-0,0112869;-0,0323769;-0,0256738;-0,0226126
"OB_11";-0,00446632;0,0228066;-0,0429316;-0,0401073;-0,00831502;-0,0236299;-0,0298064;0;-0,0230517;0,015409;-0,0270551;0,000242023;-0,00414635;-0,0151252;-0,0051772;0,00126242;0,0743971;-0,0223404;0,00108499;-0,0276636;-0,0138222;0,020024;0,0252515;0,00840831;0,0190796;0,00225034;-0,0190628;-0,0188666;-0,0333949;-0,00866727;-0,0219707;-0,01845;0,00053839;-0,0420047;0,00523134;-0,0409755;-0,0590861;-0,0433813;-0,0398834;-0,0181264;-0,0449375;-0,0357808;-0,0282335;-0,0199965;-0,0353743;-0,00320344;0,0181371;-0,00870993;-0,0557134;-0,00845294;-0,0345219;-0,0027852;-0,0517681;-0,0147206;0,0791187;-0,0266394;0,00944398
"OB_15";-0,00707755;-0,0279898;-0,0272092;0,0514912;-0,0290108;-0,0401948;-0,0463391;-0,0230517;0;-0,0131391;-0,0491946;-0,0160562;0,0104286;-0,0297823;-0,0247783;-0,0303458;0,0748051;-0,0324574;-0,0394196;-0,0521748;-0,0195129;-0,0112043;-0,0267642;-0,0162946;-0,00738967;-0,033429;0,051868;-0,0353425;0,0187112;-0,0126442;0,00838102;-0,011631;0,0326414;-0,0132726;0,0215844;-0,00108576;-0,0249415;-0,0448952;-0,0106578;-0,0135204;-0,0263526;-0,0269627;-0,0107032;0,00405019;-0,0176542;0,0308032;0,0247105;0,00398974;-0,0560671;-0,0163824;-0,0371455;0,0239238;-0,0526511;0,0151367;0,0696285;-0,0168522;0,0810989
"OB_16";0,0304558;0,0202047;-0,0400327;-0,0168995;0,00216163;-0,0133734;0,0204337;0,015409;-0,0131391;0;-0,0247526;0,0137314;0,002635;-0,0144282;-0,0071036;0,00367607;-0,0391289;-0,000957737;-0,00131921;-0,0200027;0,000634475;0,00856409;0,056216;-0,0127376;0,015471;0,00298952;-0,0312654;-0,00476319;-0,0286008;-0,0178625;-0,022164;-0,00914764;-0,013214;-0,0227261;-0,0298204;-0,0243264;-0,0375751;-0,0134683;-0,037987;-0,0250861;-0,00950291;-0,0199719;-0,0176584;-0,049768;-0,0216574;-0,0172735;-0,0352847;-0,0288576;-0,028246;-0,0286301;-0,0125145;-0,0352106;-0,033349;0,00445512;0,00390489;-0,0290293;-0,0281991
"OB_19";-0,015937;-0,00585916;-0,00495092;-0,0181059;-0,0355123;-0,0315035;-0,000327316;-0,0270551;-0,0491946;-0,0247526;0;0,0293013;0,0030423;0,0640869;-0,0149441;0,0652266;-0,00852881;-0,0371749;-0,0182035;0,0398802;-0,0149656;0,00637371;-0,0383351;-0,0046095;-0,012427;0,0089684;-0,0323942;0,0301867;-0,0114009;-0,0358312;-0,00791915;-0,0199102;-0,0260001;-0,00911977;-0,0472874;-0,0462639;-0,0137364;-0,0255734;0,000641311;-0,0106256;-0,0222019;0,01965;-0,0179782;-0,0213473;-0,0176713;-0,0119877;-0,05573;-0,0390153;-0,0408764;-0,0116793;-0,0212136;-0,0517107;0,00384344;0,0279644;-0,0389594;-0,0295133;-0,0477188
"OB_20";-0,00182418;0,00801222;-0,0471725;-0,0394288;-0,00473828;-0,0274022;-0,0345815;0,000242023;-0,0160562;0,0137314;0,0293013;0;0,0972397;-0,00677895;-0,00565614;0,0325359;0,0243013;0,00553204;-0,00419494;-0,0308158;-0,00615994;-0,00217398;-0,00549071;-0,0102712;0,000912228;0,0146722;0,00221217;-0,00815584;-0,0337457;-0,0214506;-0,0101054;-0,0497931;-0,0111678;-0,0302054;-0,025791;-0,0492557;-0,0300617;-0,0528208;-0,0159276;-0,0379173;-0,0339646;-0,0465133;-0,0381982;-0,0389811;-0,00630745;-0,0504105;-0,0314834;-0,0334683;-0,0386809;-0,0308018;-0,0264563;-0,0130572;-0,0267309;-0,00738549;0,00389256;-0,0451383;-0,0172891
"OB_22";0,00430301;0,0241999;-0,0146347;-0,0130057;0,00124398;-0,021466;-0,0101886;-0,00414635;0,0104286;0,002635;0,0030423;0,0972397;0;-0,0167858;0,00995613;0,0237154;-0,00898398;0,00458805;0,0031924;-0,00645125;-0,0272528;0,00707315;-0,00698395;0,0144663;-0,00890484;0,0122457;-0,0180683;0,00371161;-0,0176195;-0,0406472;0,0142081;-0,0271966;-0,0287752;-0,0336719;-0,0322763;-0,0450281;-0,0470295;-0,0634694;-0,0306661;-0,0154749;-0,0535521;-0,0553552;-0,0183087;-0,0423352;-0,0236333;-0,0195945;-0,0332219;-0,0404574;-0,0413131;-0,0228907;-0,0352665;-0,041454;-0,0392313;0,0091599;-0,00543656;-0,0245191;-0,014685
"OB_25";-0,018121;-0,00268939;-0,0419992;-0,0298959;0,00486281;0,00758419;0,0069224;-0,0151252;-0,0297823;-0,0144282;0,0640869;-0,00677895;-0,0167858;0;0,0376273;-0,0173501;-0,048304;0,0230044;0,0115334;-0,00686666;0,00982818;0,00280826;-0,0247149;0,00315074;-0,0155699;0,0259141;0,0166988;0,0488113;-0,00706058;-0,00785259;-0,0100648;0,00818643;-0,0102857;-0,0343245;-0,0152585;-0,0330941;-0,0235458;-0,0358704;-0,0161016;-0,0171599;-0,0422138;-0,0219988;-0,0118271;-0,00027065;-0,0398021;-0,00977582;-0,0262;-0,0300719;-0,036268;-0,0205487;-0,0403996;-0,0482369;-0,0367119;0,000748505;0,00280045;-0,0289329;0,0178111
"OB_26";-0,0138902;-0,00357413;-0,0234204;-0,0324981;0,0237113;0,00961121;-0,0175233;-0,0051772;-0,0247783;-0,0071036;-0,0149441;-0,00565614;0,00995613;0,0376273;0;0,00979802;-0,033692;0,0331844;-0,0061237;-0,016674;0,0191727;0,022568;0,00317208;0,010504;0,01206;0,033629;-0,0295704;-0,0314005;0,00282412;-0,0236645;-0,0205067;-0,0232486;-0,0297486;0,0206306;-0,0154601;0,000906845;-0,00468297;-0,0439859;-0,0424206;-0,020836;-0,0324893;-0,0238242;-0,0102252;-0,0202298;-0,0338948;-0,0258384;-0,030408;-0,0440666;-0,0436038;-0,0214944;-0,0264333;-0,056093;-0,0212038;-0,00735746;0,0390245;-0,0171837;-0,0215937
"OB_27";0,0177861;-0,00866012;-0,00783102;-0,0180198;-0,0164149;-0,0155776;0,00673375;0,00126242;-0,0303458;0,00367607;0,0652266;0,0325359;0,0237154;-0,0173501;0,00979802;0;-0,0219628;-0,0190712;-0,015003;0,0408352;-0,0227233;0,0211202;-0,00283341;0,0215192;0,00775037;0,014578;-0,00906348;-0,02997;-0,0154707;-0,0233176;-0,00716128;0,00339861;0,00851238;-0,0125621;-0,0230602;-0,0370376;-0,027445;-0,033911;0,00464438;-0,00867249;-0,0318649;-0,0279355;-0,0185866;-0,02773;-0,0150879;-0,0139865;-0,0470704;-0,0289783;-0,0373747;-0,00889708;-0,0495438;-0,039811;-0,0331414;-0,016748;-0,0295133;-0,0334215;-0,0186492
"OB_28";-0,0335877;-0,0166676;0,0794619;-0,00486712;-0,0116377;-0,0410584;-0,0223515;0,0743971;0,0748051;-0,0391289;-0,00852881;0,0243013;-0,00898398;-0,048304;-0,033692;-0,0219628;0;-0,0458921;-0,0424555;-0,0335291;-0,0361702;-0,037407;-0,0527375;-0,0414878;-0,0355906;-0,0530713;-0,047608;-0,0205488;-0,0484892;-0,00142612;0,0361906;0,01385;0,0316696;-0,0139734;0,055124;-0,0175644;-0,0400869;-0,0238936;-0,0082839;-0,0366411;-0,01852;-0,0275069;-0,0374699;0,0341608;-0,0317683;-0,013761;0,0231456;-0,00478047;-0,0574889;-0,00402733;-0,0312735;0,0599796;-0,00689948;0,00144971;0,0428518;-0,0265771;0,000374179
"OB_29";0,0137543;0,0163439;-0,0577923;-0,0388262;-0,024684;0,0538867;0,0245947;-0,0223404;-0,0324574;-0,000957737;-0,0371749;0,00553204;0,00458805;0,0230044;0,0331844;-0,0190712;-0,0458921;0;-0,012692;-0,0320793;0,0080457;0,0150835;-0,0130161;0,00877315;0,00132639;0,00265837;-0,0211173;-0,0122943;0,0396564;-0,0109679;-0,00407248;-0,0144022;-0,0334819;-0,04617;-0,0341262;-0,0566471;-0,0413368;-0,0434235;-0,0298137;-0,014692;-0,0268997;-0,0180066;-0,0145656;-0,0598728;-0,0178288;-0,0319789;-0,0497705;-0,0223716;-0,0369718;-0,0384923;-0,0199618;-0,0448055;-0,00770496;-0,00111115;0,00561785;-0,0425189;-0,0186419
"OB_31";0,00158506;0,0114505;-0,0499825;-0,0336323;-0,000738695;-0,0205187;-0,0111813;0,00108499;-0,0394196;-0,00131921;-0,0182035;-0,00419494;0,0031924;0,0115334;-0,0061237;-0,015003;-0,0424555;-0,012692;0;-0,0186161;-0,00855912;0,0389402;0,0114637;0,0296484;-0,00380154;-0,00026352;-0,030318;0,0652287;0,0282067;-0,0252724;-0,0128779;-0,00980727;-0,0378418;-0,0308262;-0,068946;-0,0403642;-0,0339354;-0,0389689;-0,025227;-0,0331208;-0,0300829;-0,018434;-0,019206;-0,0436741;-0,0352834;-0,0382431;-0,0485901;-0,0301833;-0,0411935;-0,0220483;-0,029727;-0,0360762;-0,0435211;0,00261834;-0,0291047;-0,0498168;-0,0241105
"OB_33";-0,0132004;-0,0184159;0,0763985;-0,00127966;-0,010744;-0,0358438;0,0264736;-0,0276636;-0,0521748;-0,0200027;0,0398802;-0,0308158;-0,00645125;-0,00686666;-0,016674;0,0408352;-0,0335291;-0,0320793;-0,0186161;0;-0,0174999;-0,0288975;-0,0354246;-0,0065315;-0,0115775;-0,015812;-0,0414359;-0,0379615;-0,00731712;0,00210527;0,0408954;-0,000282106;0,0082669;0,0072498;-0,0109241;-0,0377338;0,00378735;-0,027437;-0,0135806;-0,0275794;-0,012224;0,0014914;-0,0246079;-0,0116765;0,00490896;-0,0191666;-0,0284682;-0,0253422;-0,0391069;-0,0264511;-0,0349614;-0,0397822;0,00192844;-0,00567023;-0,0297144;-0,0110504;0,00406906
"OB_35";0,0202805;0,00280912;-0,044363;-0,0378685;-0,00697967;0,0521208;-0,022644;-0,0138222;-0,0195129;0,000634475;-0,0149656;-0,00615994;-0,0272528;0,00982818;0,0191727;-0,0227233;-0,0361702;0,0080457;-0,00855912;-0,0174999;0;0,00378376;0,000916402;0,00577989;-0,00283819;0,0528205;0,0872962;-0,021262;0,0304726;-0,0553549;-0,0142739;-0,0279223;-0,0111447;-0,043661;-0,0410329;-0,027779;-0,0431538;-0,00515646;-0,0302929;-0,0139247;-0,0499472;-0,00426611;-0,025124;-0,0550987;-0,0133164;-0,000556048;-0,040153;0,0225848;-0,0199581;0,0196325;-0,029921;-0,0283762;-0,0226905;-0,0303901;-0,04129;-0,0126963;0,0141885
"OB_36";0,00884744;0,0167474;-0,042036;-0,0360537;0,0244483;0,00624615;-0,0107273;0,020024;-0,0112043;0,00856409;0,00637371;-0,00217398;0,00707315;0,00280826;0,022568;0,0211202;-0,037407;0,0150835;0,0389402;-0,0288975;0,00378376;0;0,0218298;0,0238619;0,0205084;-0,00435413;-0,00876962;-0,000779562;-0,0106672;-0,0178246;-0,0151508;-0,0311351;-0,0229427;-0,03399;-0,0356816;-0,0316344;-0,0336801;-0,0363644;-0,0249786;-0,025087;-0,0358399;-0,0319207;-0,0118004;-0,0346138;-0,0144276;-0,0289247;-0,0417475;-0,0385681;-0,0385691;-0,0199249;-0,036454;-0,0435168;-0,0371452;-0,010429;0,00078916;-0,0212356;-0,0273489
"OB_37";-0,0117113;0,00124451;-0,0423695;0,0279249;0,000669831;0,0122305;-0,00609739;0,0252515;-0,0267642;0,056216;-0,0383351;-0,00549071;-0,00698395;-0,0247149;0,00317208;-0,00283341;-0,0527375;-0,0130161;0,0114637;-0,0354246;0,000916402;0,0218298;0;0,00264145;0,00676703;0,00341031;0,0369695;-0,031166;0,00127101;-0,0257324;-0,0181965;-0,0201854;-0,0327757;-0,0026004;-0,0364738;-0,0269907;-0,0301291;-0,0505597;-0,0363057;-0,0120684;-0,0230795;-0,0230361;-0,0156319;-0,05037;0,00629695;-0,0019817;-0,0301708;-0,0334837;-0,0352971;-0,013868;-0,0253784;-0,0441423;-0,0438697;0,057365;-0,0271173;-0,0218142;0,00584857
"OB_39";-0,00393349;0,000583918;-0,0239242;-0,0298367;0,0665137;-0,000220233;-0,0176169;0,00840831;-0,0162946;-0,0127376;-0,0046095;-0,0102712;0,0144663;0,00315074;0,010504;0,0215192;-0,0414878;0,00877315;0,0296484;-0,0065315;0,00577989;0,0238619;0,00264145;0;-0,014717;0,0152595;-0,00637829;-0,0145416;-0,0255056;-0,00655537;-0,0105537;-0,0245064;-0,00914307;-0,0137864;-0,0176204;-0,0342554;-0,00724832;-0,0267949;-0,0224295;-0,0174772;-0,028513;-0,0287427;-0,0231099;-0,0509142;-0,0301126;-0,0118947;-0,0425111;-0,0439716;-0,0541776;-0,024133;-0,0524703;-0,0457755;-0,0459811;-0,0146203;-0,0149321;-0,0459625;-0,00254561
"OB_40";-0,00317613;-0,0022663;-0,0371796;-0,0216035;0,00104781;-0,0131378;-0,0189937;0,0190796;-0,00738967;0,015471;-0,012427;0,000912228;-0,00890484;-0,0155699;0,01206;0,00775037;-0,0355906;0,00132639;-0,00380154;-0,0115775;-0,00283819;0,0205084;0,00676703;-0,014717;0;0,0120174;-0,00459051;0,00620137;-0,0273961;-0,0341315;-0,0422482;-0,0199706;-0,0215127;-0,0459497;-0,0389826;-0,0228535;-0,0364576;-0,044962;-0,020976;-0,00538422;-0,0295468;-0,0259666;-0,000555541;-0,00191291;-0,00491313;-0,00171776;-0,0205498;-0,0111441;-0,0111603;-0,0225441;-0,0486955;-0,0481969;-0,0578102;-0,0315381;-0,00978259;-0,0381886;-0,0215125
"OB_41";0,012074;-0,0109987;-0,0361016;-0,0354721;-0,0151928;0,0108292;-0,01957;0,00225034;-0,033429;0,00298952;0,0089684;0,0146722;0,0122457;0,0259141;0,033629;0,014578;-0,0530713;0,00265837;-0,00026352;-0,015812;0,0528205;-0,00435413;0,00341031;0,0152595;0,0120174;0;0,0408228;-0,0140353;-0,000408527;-0,0451071;-0,0092816;0,000529319;-0,0277469;-0,0366873;-0,0483033;-0,0339738;-0,0561313;-0,00566352;-0,0146365;0,00890364;-0,0315063;0,00659887;0,0054596;-0,034761;-0,0213551;-0,0256645;-0,0499687;-0,0502855;-0,0504293;0,0125034;-0,0394142;-0,0579671;-0,0253173;0,0343708;-0,0170041;-0,0310435;0,0300944
"OB_43";-0,0284627;-0,0409965;-0,0595986;-0,0507083;0,0036862;-0,0128063;-0,0450476;-0,0190628;0,051868;-0,0312654;-0,0323942;0,00221217;-0,0180683;0,0166988;-0,0295704;-0,00906348;-0,047608;-0,0211173;-0,030318;-0,0414359;0,0872962;-0,00876962;0,0369695;-0,00637829;-0,00459051;0,0408228;0;-0,0220682;0,0107959;-0,0376292;-0,0119462;-0,0148128;0,0631415;-0,0406892;-0,025874;-0,0238405;-0,0370578;-0,0450251;-0,0338719;0,00367819;-0,0584787;-0,00829013;-0,0262385;0,0231929;-0,0350427;-0,00373363;-0,0141667;-0,00676858;-0,0280561;-0,00506945;-0,0604129;-0,01147;-0,0274859;-0,0262468;-0,0314988;-0,0335214;-0,00207771
"OB_45";-0,0170492;0,00697018;-0,0455001;-0,0103397;0,0278333;-0,0137097;0,0398007;-0,0188666;-0,0353425;-0,00476319;0,0301867;-0,00815584;0,00371161;0,0488113;-0,0314005;-0,02997;-0,0205488;-0,0122943;0,0652287;-0,0379615;-0,021262;-0,000779562;-0,031166;-0,0145416;0,00620137;-0,0140353;-0,0220682;0;-0,0160105;-0,0363861;-0,0443376;-0,00556842;-0,0339286;-0,0174468;-0,0465125;-0,0333784;-0,0368553;-0,0302947;-0,00175279;-0,030309;-0,0321079;-0,0104107;0,0032846;-0,0213153;-0,0371218;-0,0141318;-0,0536656;-0,0308744;-0,00659951;-0,015975;-0,0537727;-0,061358;-0,0187431;-0,0282075;-0,0193808;-0,0111956;-0,0303151
