"";"OB_0";"OB_1";"OB_2";"OB_4";"OB_5";"OB_9";"OB_10";"OB_11";"OB_15";"OB_16";"OB_19";"OB_20";"OB_22";"OB_25";"OB_26";"OB_27";"OB_28";"OB_29";"OB_31";"OB_33";"OB_35";"OB_36";"OB_37";"OB_39";"OB_40";"OB_41";"OB_43";"OB_45";"OB_47";"OB_50";"OB_51";"OB_52";"OB_53";"OB_55";"OB_56";"OB_57";"OB_60";"OB_61";"OB_62";"OB_63";"OB_64";"OB_65";"OB_66";"OB_68";"OB_69";"OB_71";"OB_72";"OB_74";"OB_78";"OB_80";"OB_82";"OB_84";"OB_86";"OB_87";"OB_88";"OB_89";"OB_90"
"OB_47";-0,00122046;0,0112689;-0,0332085;-0,034798;-0,00825913;0,0729792;-0,0103987;-0,0333949;0,0187112;-0,0286008;-0,0114009;-0,0337457;-0,0176195;-0,00706058;0,00282412;-0,0154707;-0,0484892;0,0396564;0,0282067;-0,00731712;0,0304726;-0,0106672;0,00127101;-0,0255056;-0,0273961;-0,000408527;0,0107959;-0,0160105;0;-0,0468472;-0,0118616;-0,00208963;-0,0351526;-0,0334317;-0,0167531;-0,0469768;-0,02152;-0,0243473;-0,00527917;0,0193333;-0,0184974;-0,0142231;-0,0102022;-0,0243131;-0,00226609;-0,00710038;-0,0456678;-0,0149527;-0,0168151;-0,0197292;-0,0210203;-0,0346926;-0,0226089;-0,0049831;-0,0291082;0,00202547;-0,00618243
"OB_50";-0,0218646;-0,0350273;-0,00922842;-0,019399;-0,0337861;-0,02515;0,0506313;-0,00866727;-0,0126442;-0,0178625;-0,0358312;-0,0214506;-0,0406472;-0,00785259;-0,0236645;-0,0233176;-0,00142612;-0,0109679;-0,0252724;0,00210527;-0,0553549;-0,0178246;-0,0257324;-0,00655537;-0,0341315;-0,0451071;-0,0376292;-0,0363861;-0,0468472;0;-0,0287688;-0,029006;-0,0115067;-0,0172486;-0,0297579;-0,0392849;0,0843045;-0,0375326;-0,0237256;-0,0420758;0,0177552;-0,0143603;-0,0278668;-0,0307824;-0,0127924;-0,0355178;0,0749888;-0,0398792;-0,021581;-0,0514537;0,0617932;-0,0319199;-0,0215571;0,0163706;0,0873213;-0,0364398;-0,0335299
"OB_51";-0,0283803;-0,00394747;0,00621045;-0,0247995;0,0123124;-0,0198831;-0,0280325;-0,0219707;0,00838102;-0,022164;-0,00791915;-0,0101054;0,0142081;-0,0100648;-0,0205067;-0,00716128;0,0361906;-0,00407248;-0,0128779;0,0408954;-0,0142739;-0,0151508;-0,0181965;-0,0105537;-0,0422482;-0,0092816;-0,0119462;-0,0443376;-0,0118616;-0,0287688;0;0,0387189;0,096673;-0,0233752;-0,00199111;-0,0387736;-0,0267398;-0,0467797;-0,0102598;-0,0252265;-0,0287799;-0,00460927;-0,0257497;-0,0510232;-0,0167622;-0,0174102;-0,0143278;-0,0179881;-0,0251846;0,00970035;-0,0241767;0,0228202;-0,0416516;0,00335809;-0,0102869;-0,0187373;0,0161313
"OB_52";-0,0270136;0,013751;-0,0268577;0,0179593;-0,0264711;0,0127777;-0,0241246;-0,01845;-0,011631;-0,00914764;-0,0199102;-0,0497931;-0,0271966;0,00818643;-0,0232486;0,00339861;0,01385;-0,0144022;-0,00980727;-0,000282106;-0,0279223;-0,0311351;-0,0201854;-0,0245064;-0,0199706;0,000529319;-0,0148128;-0,00556842;-0,00208963;-0,029006;0,0387189;0;-0,00436925;0,0553749;0,00865024;-0,0123156;-0,0293178;-0,0112608;0,0278779;0,0207863;-0,0150258;-0,0165699;-0,00171904;-0,0237918;-0,0101025;0,00823986;-0,0389626;-0,0246613;-0,0229247;-0,0113994;-0,0400396;-0,0399826;-0,0333446;-0,0122825;-0,0608586;-0,0222806;0,0087502
"OB_53";-0,00119269;-0,0114095;-0,00872644;-0,0075638;-0,0190103;-0,0450948;0,0294527;0,00053839;0,0326414;-0,013214;-0,0260001;-0,0111678;-0,0287752;-0,0102857;-0,0297486;0,00851238;0,0316696;-0,0334819;-0,0378418;0,0082669;-0,0111447;-0,0229427;-0,0327757;-0,00914307;-0,0215127;-0,0277469;0,0631415;-0,0339286;-0,0351526;-0,0115067;0,096673;-0,00436925;0;-0,030968;0,0122406;-0,0307322;-0,0129501;-0,0252262;0,0169234;-0,0189601;-0,0262563;-0,0526337;-0,0460197;-0,023553;-0,0258087;-0,016109;0,029021;0,00120371;-0,0128421;0,00745136;-0,0630786;0,0158693;-0,0292858;-0,0159601;-0,0165034;-0,0311246;-0,00247632
"OB_55";-0,00327798;-0,00767689;0,0770611;-0,00362892;-0,0112425;-0,0182672;-0,0245464;-0,0420047;-0,0132726;-0,0227261;-0,00911977;-0,0302054;-0,0336719;-0,0343245;0,0206306;-0,0125621;-0,0139734;-0,04617;-0,0308262;0,0072498;-0,043661;-0,03399;-0,0026004;-0,0137864;-0,0459497;-0,0366873;-0,0406892;-0,0174468;-0,0334317;-0,0172486;-0,0233752;0,0553749;-0,030968;0;-0,000240396;0,0278662;0,121079;0,0110148;0,0190517;-0,0179467;0,0139385;0,0452651;-0,0143975;0,00226527;-0,00311649;-0,00284294;-0,052564;-0,0457712;-0,0342802;-0,027638;-0,0337137;-0,0342171;-0,00731789;-0,0351607;-0,0334681;-0,00397644;0,00612325
"OB_56";-0,0324807;-0,0249457;-0,0274382;0,0765793;-0,0382281;-0,0209363;-0,0267252;0,00523134;0,0215844;-0,0298204;-0,0472874;-0,025791;-0,0322763;-0,0152585;-0,0154601;-0,0230602;0,055124;-0,0341262;-0,068946;-0,0109241;-0,0410329;-0,0356816;-0,0364738;-0,0176204;-0,0389826;-0,0483033;-0,025874;-0,0465125;-0,0167531;-0,0297579;-0,00199111;0,00865024;0,0122406;-0,000240396;0;-0,00897326;-0,0361777;-0,0366617;0,0148314;0,0163371;0,00243497;-0,0113214;-0,0215774;0,010096;-0,0214782;0,0612778;-0,00216706;0,0898658;-0,0142762;0,0040232;-0,0192881;0,00746993;-0,0171133;-0,0101532;-0,0142198;0,085316;-0,00762222
"OB_57";-0,0194214;-0,036194;-0,0053369;-0,00371583;-0,0181387;-0,0311618;0,00228702;-0,0409755;-0,00108576;-0,0243264;-0,0462639;-0,0492557;-0,0450281;-0,0330941;0,000906845;-0,0370376;-0,0175644;-0,0566471;-0,0403642;-0,0377338;-0,027779;-0,0316344;-0,0269907;-0,0342554;-0,0228535;-0,0339738;-0,0238405;-0,0333784;-0,0469768;-0,0392849;-0,0387736;-0,0123156;-0,0307322;0,0278662;-0,00897326;0;-0,0367055;0,121545;-0,0342857;-0,0102188;-0,0190823;-0,02312;-0,0339647;0,0987841;-0,0173707;-0,0032263;0,0183932;0,0143988;-0,024854;-0,0251682;-0,0562571;0,0170144;-0,0202375;-0,0334664;-0,0508306;0,00505466;-0,0280285
"OB_60";-0,031962;-0,034225;0,0149151;-0,0236657;-0,0214721;-0,0405237;-0,0264136;-0,0590861;-0,0249415;-0,0375751;-0,0137364;-0,0300617;-0,0470295;-0,0235458;-0,00468297;-0,027445;-0,0400869;-0,0413368;-0,0339354;0,00378735;-0,0431538;-0,0336801;-0,0301291;-0,00724832;-0,0364576;-0,0561313;-0,0370578;-0,0368553;-0,02152;0,0843045;-0,0267398;-0,0293178;-0,0129501;0,121079;-0,0361777;-0,0367055;0;-0,0208041;0,0154323;-0,0222861;0,047696;0,0103433;-0,0126076;-0,0184058;0,0123686;-0,0191723;-0,0108144;-0,0362227;0,00250202;-0,0347939;0,0434575;-0,00386823;0,0270182;-0,0154876;0,0120951;-0,00234106;-0,015862
"OB_61";-0,0413085;-0,0154758;-0,0138727;-0,0376686;-0,0250889;-0,0443596;-0,040203;-0,0433813;-0,0448952;-0,0134683;-0,0255734;-0,0528208;-0,0634694;-0,0358704;-0,0439859;-0,033911;-0,0238936;-0,0434235;-0,0389689;-0,027437;-0,00515646;-0,0363644;-0,0505597;-0,0267949;-0,044962;-0,00566352;-0,0450251;-0,0302947;-0,0243473;-0,0375326;-0,0467797;-0,0112608;-0,0252262;0,0110148;-0,0366617;0,121545;-0,0208041;0;0,0183515;-0,0196233;-0,0142359;-0,0131675;-0,0329153;0,085186;-0,031983;-0,00171921;-0,0619845;-0,0395825;-0,02636;0,0775285;-0,0306183;-0,0545931;-0,0205502;-0,0322249;-0,0549364;0,00810441;-0,0511084
"OB_62";-0,021722;-0,0259529;-0,025534;-0,0158539;-0,0213325;-0,0181502;0,0443455;-0,0398834;-0,0106578;-0,037987;0,000641311;-0,0159276;-0,0306661;-0,0161016;-0,0424206;0,00464438;-0,0082839;-0,0298137;-0,025227;-0,0135806;-0,0302929;-0,0249786;-0,0363057;-0,0224295;-0,020976;-0,0146365;-0,0338719;-0,00175279;-0,00527917;-0,0237256;-0,0102598;0,0278779;0,0169234;0,0190517;0,0148314;-0,0342857;0,0154323;0,0183515;0;0,00137468;0,0115889;0,0242317;-0,00399939;-0,0121567;0,00151478;-0,00380912;-0,0367184;-0,0146884;0,0741625;0,00710313;-0,0179261;-0,0331957;-0,0307116;-0,0314111;-0,0423093;0,0143533;-0,0332589
"OB_63";-0,032279;-0,0257967;-0,016365;0,00711139;-0,0233977;0,000591094;-0,0373159;-0,0181264;-0,0135204;-0,0250861;-0,0106256;-0,0379173;-0,0154749;-0,0171599;-0,020836;-0,00867249;-0,0366411;-0,014692;-0,0331208;-0,0275794;-0,0139247;-0,025087;-0,0120684;-0,0174772;-0,00538422;0,00890364;0,00367819;-0,030309;0,0193333;-0,0420758;-0,0252265;0,0207863;-0,0189601;-0,0179467;0,0163371;-0,0102188;-0,0222861;-0,0196233;0,00137468;0;-0,0188831;-0,0118403;0,00644958;-0,0019048;-0,0261749;0,0169974;-0,0101068;0,00773867;0,00728255;-0,0206042;-0,0474575;-0,0446252;-0,0312776;-0,0121141;-0,0485095;-0,00563053;-0,00956411
"OB_64";-0,0278282;-0,0320409;0,000145363;0,0678237;-0,0337443;-0,0381953;-0,017438;-0,0449375;-0,0263526;-0,00950291;-0,0222019;-0,0339646;-0,0535521;-0,0422138;-0,0324893;-0,0318649;-0,01852;-0,0268997;-0,0300829;-0,012224;-0,0499472;-0,0358399;-0,0230795;-0,028513;-0,0295468;-0,0315063;-0,0584787;-0,0321079;-0,0184974;0,0177552;-0,0287799;-0,0150258;-0,0262563;0,0139385;0,00243497;-0,0190823;0,047696;-0,0142359;0,0115889;-0,0188831;0;-0,00385757;-0,01033;-0,00486299;0,0543949;-0,0169872;-0,0184417;-0,00623625;-0,00311847;-0,0221532;0,044934;0,0695004;-0,00531394;-0,0144451;-0,0418242;0,0136528;-0,0278229
"OB_65";-0,0215482;-0,0238223;0,0272873;-0,0312203;-0,0370449;-0,0148683;0,0220731;-0,0357808;-0,0269627;-0,0199719;0,01965;-0,0465133;-0,0553552;-0,0219988;-0,0238242;-0,0279355;-0,0275069;-0,0180066;-0,018434;0,0014914;-0,00426611;-0,0319207;-0,0230361;-0,0287427;-0,0259666;0,00659887;-0,00829013;-0,0104107;-0,0142231;-0,0143603;-0,00460927;-0,0165699;-0,0526337;0,0452651;-0,0113214;-0,02312;0,0103433;-0,0131675;0,0242317;-0,0118403;-0,00385757;0;0,0231756;-0,0205208;-0,0147561;0,018739;-0,0226223;0,00267452;0,0244005;-0,0244277;0,0445675;-0,0136087;0,00944198;-0,0122783;-0,0418627;-0,00977663;-0,0197733
"OB_66";-0,0421496;-0,0314963;-0,0343451;-0,0199142;-0,04091;-0,0315101;-0,0396254;-0,0282335;-0,0107032;-0,0176584;-0,0179782;-0,0381982;-0,0183087;-0,0118271;-0,0102252;-0,0185866;-0,0374699;-0,0145656;-0,019206;-0,0246079;-0,025124;-0,0118004;-0,0156319;-0,0231099;-0,000555541;0,0054596;-0,0262385;0,0032846;-0,0102022;-0,0278668;-0,0257497;-0,00171904;-0,0460197;-0,0143975;-0,0215774;-0,0339647;-0,0126076;-0,0329153;-0,00399939;0,00644958;-0,01033;0,0231756;0;-0,0229078;-0,0114326;0,0181237;-0,0167393;0,00590471;0,0350018;-0,0092739;0,025623;-0,0471396;-0,0245535;-0,0225285;-0,017143;-0,0170247;0,0461797
"OB_68";-0,0475312;-0,0462801;0,0416236;-0,00208252;-0,0435535;-0,0446717;-0,04821;-0,0199965;0,00405019;-0,049768;-0,0213473;-0,0389811;-0,0423352;-0,00027065;-0,0202298;-0,02773;0,0341608;-0,0598728;-0,0436741;-0,0116765;-0,0550987;-0,0346138;-0,05037;-0,0509142;-0,00191291;-0,034761;0,0231929;-0,0213153;-0,0243131;-0,0307824;-0,0510232;-0,0237918;-0,023553;0,00226527;0,010096;0,0987841;-0,0184058;0,085186;-0,0121567;-0,0019048;-0,00486299;-0,0205208;-0,0229078;0;-0,00866649;-0,00924701;-0,0127121;0,0103952;-0,0175729;0,0190523;-0,0497396;-0,0244215;-0,020132;-0,0137062;-0,0305114;0,0543163;-0,0297709
"OB_69";-0,000480668;-0,0135938;-0,00572138;-0,0243192;-0,0272538;-0,0139339;0,0343045;-0,0353743;-0,0176542;-0,0216574;-0,0176713;-0,00630745;-0,0236333;-0,0398021;-0,0338948;-0,0150879;-0,0317683;-0,0178288;-0,0352834;0,00490896;-0,0133164;-0,0144276;0,00629695;-0,0301126;-0,00491313;-0,0213551;-0,0350427;-0,0371218;-0,00226609;-0,0127924;-0,0167622;-0,0101025;-0,0258087;-0,00311649;-0,0214782;-0,0173707;0,0123686;-0,031983;0,00151478;-0,0261749;0,0543949;-0,0147561;-0,0114326;-0,00866649;0;-0,00382068;-0,0318513;-0,00764249;-0,0412956;-0,0279448;-0,00367863;-0,0248389;-0,0258102;-0,0392765;-0,0332333;0,00320692;-0,0216933
"OB_71";-0,0359698;-0,00681704;-0,015626;-0,00109921;-0,0371632;-0,0209895;-0,0290525;-0,00320344;0,0308032;-0,0172735;-0,0119877;-0,0504105;-0,0195945;-0,00977582;-0,0258384;-0,0139865;-0,013761;-0,0319789;-0,0382431;-0,0191666;-0,000556048;-0,0289247;-0,0019817;-0,0118947;-0,00171776;-0,0256645;-0,00373363;-0,0141318;-0,00710038;-0,0355178;-0,0174102;0,00823986;-0,016109;-0,00284294;0,0612778;-0,0032263;-0,0191723;-0,00171921;-0,00380912;0,0169974;-0,0169872;0,018739;0,0181237;-0,00924701;-0,00382068;0;0,00385783;0,0157847;0,00176688;-0,00495481;-0,035569;-0,0222853;-0,0357714;-0,0311555;-0,045758;0,0333982;-0,00722833
"OB_72";-0,0517034;-0,0529183;-0,00975287;0,0313498;-0,0452439;-0,0373812;-0,049884;0,0181371;0,0247105;-0,0352847;-0,05573;-0,0314834;-0,0332219;-0,0262;-0,030408;-0,0470704;0,0231456;-0,0497705;-0,0485901;-0,0284682;-0,040153;-0,0417475;-0,0301708;-0,0425111;-0,0205498;-0,0499687;-0,0141667;-0,0536656;-0,0456678;0,0749888;-0,0143278;-0,0389626;0,029021;-0,052564;-0,00216706;0,0183932;-0,0108144;-0,0619845;-0,0367184;-0,0101068;-0,0184417;-0,0226223;-0,0167393;-0,0127121;-0,0318513;0,00385783;0;0,0584989;-0,00173804;-0,0308557;-0,0249023;0,123227;-0,0474636;-0,0125241;0,0676498;-0,0527812;-0,00985499
"OB_74";-0,0405879;-0,0289979;-0,00799229;0,055556;-0,0309741;-0,0455138;-0,0167161;-0,00870993;0,00398974;-0,0288576;-0,0390153;-0,0334683;-0,0404574;-0,0300719;-0,0440666;-0,0289783;-0,00478047;-0,0223716;-0,0301833;-0,0253422;0,0225848;-0,0385681;-0,0334837;-0,0439716;-0,0111441;-0,0502855;-0,00676858;-0,0308744;-0,0149527;-0,0398792;-0,0179881;-0,0246613;0,00120371;-0,0457712;0,0898658;0,0143988;-0,0362227;-0,0395825;-0,0146884;0,00773867;-0,00623625;0,00267452;0,00590471;0,0103952;-0,00764249;0,0157847;0,0584989;0;0,0115052;-0,0158058;-0,0317633;0,0701184;-0,0401974;-0,0117966;-0,0139136;0,0959007;-0,0115474
"OB_78";-0,025142;-0,0524564;-0,0440427;-0,00119042;-0,0347276;-0,00657628;-0,0316056;-0,0557134;-0,0560671;-0,028246;-0,0408764;-0,0386809;-0,0413131;-0,036268;-0,0436038;-0,0373747;-0,0574889;-0,0369718;-0,0411935;-0,0391069;-0,0199581;-0,0385691;-0,0352971;-0,0541776;-0,0111603;-0,0504293;-0,0280561;-0,00659951;-0,0168151;-0,021581;-0,0251846;-0,0229247;-0,0128421;-0,0342802;-0,0142762;-0,024854;0,00250202;-0,02636;0,0741625;0,00728255;-0,00311847;0,0244005;0,0350018;-0,0175729;-0,0412956;0,00176688;-0,00173804;0,0115052;0;-0,0140983;0,0298401;-0,00590287;-0,0166539;-0,0592082;-0,0483789;0,00242355;-0,0341028
"OB_80";-0,0160251;-0,0123384;-0,00204187;-0,000576239;-0,0281321;-0,0325081;0,00490602;-0,00845294;-0,0163824;-0,0286301;-0,0116793;-0,0308018;-0,0228907;-0,0205487;-0,0214944;-0,00889708;-0,00402733;-0,0384923;-0,0220483;-0,0264511;0,0196325;-0,0199249;-0,013868;-0,024133;-0,0225441;0,0125034;-0,00506945;-0,015975;-0,0197292;-0,0514537;0,00970035;-0,0113994;0,00745136;-0,027638;0,0040232;-0,0251682;-0,0347939;0,0775285;0,00710313;-0,0206042;-0,0221532;-0,0244277;-0,0092739;0,0190523;-0,0279448;-0,00495481;-0,0308557;-0,0158058;-0,0140983;0;-0,020872;-0,0211274;-0,0150013;-0,0132708;-0,0330374;0,00962192;-0,0128662
"OB_82";-0,038369;-0,0306719;0,00551243;-0,0142287;-0,0237718;-0,0196784;-0,0377993;-0,0345219;-0,0371455;-0,0125145;-0,0212136;-0,0264563;-0,0352665;-0,0403996;-0,0264333;-0,0495438;-0,0312735;-0,0199618;-0,029727;-0,0349614;-0,029921;-0,036454;-0,0253784;-0,0524703;-0,0486955;-0,0394142;-0,0604129;-0,0537727;-0,0210203;0,0617932;-0,0241767;-0,0400396;-0,0630786;-0,0337137;-0,0192881;-0,0562571;0,0434575;-0,0306183;-0,0179261;-0,0474575;0,044934;0,0445675;0,025623;-0,0497396;-0,00367863;-0,035569;-0,0249023;-0,0317633;0,0298401;-0,020872;0;0,0201137;0,0209736;-0,0204763;0,0126378;-0,0067919;-0,038219
"OB_84";-0,0149142;-0,0360009;-0,0326629;-0,00638052;-0,0429443;-0,0455576;-0,0416606;-0,0027852;0,0239238;-0,0352106;-0,0517107;-0,0130572;-0,041454;-0,0482369;-0,056093;-0,039811;0,0599796;-0,0448055;-0,0360762;-0,0397822;-0,0283762;-0,0435168;-0,0441423;-0,0457755;-0,0481969;-0,0579671;-0,01147;-0,061358;-0,0346926;-0,0319199;0,0228202;-0,0399826;0,0158693;-0,0342171;0,00746993;0,0170144;-0,00386823;-0,0545931;-0,0331957;-0,0446252;0,0695004;-0,0136087;-0,0471396;-0,0244215;-0,0248389;-0,0222853;0,123227;0,0701184;-0,00590287;-0,0211274;0,0201137;0;-0,0290458;-0,0263042;-0,014225;-0,0509277;-0,00402588
"OB_86";-0,017691;-0,0471972;0,0893561;-0,016009;-0,0431499;-0,0225196;0,0223013;-0,0517681;-0,0526511;-0,033349;0,00384344;-0,0267309;-0,0392313;-0,0367119;-0,0212038;-0,0331414;-0,00689948;-0,00770496;-0,0435211;0,00192844;-0,0226905;-0,0371452;-0,0438697;-0,0459811;-0,0578102;-0,0253173;-0,0274859;-0,0187431;-0,0226089;-0,0215571;-0,0416516;-0,0333446;-0,0292858;-0,00731789;-0,0171133;-0,0202375;0,0270182;-0,0205502;-0,0307116;-0,0312776;-0,00531394;0,00944198;-0,0245535;-0,020132;-0,0258102;-0,0357714;-0,0474636;-0,0401974;-0,0166539;-0,0150013;0,0209736;-0,0290458;0;-0,0376728;-0,036702;0,0200749;-0,0150416
"OB_87";-0,017705;-0,00399433;-0,0190037;0,037189;-0,0034008;-0,014738;-0,0112869;-0,0147206;0,0151367;0,00445512;0,0279644;-0,00738549;0,0091599;0,000748505;-0,00735746;-0,016748;0,00144971;-0,00111115;0,00261834;-0,00567023;-0,0303901;-0,010429;0,057365;-0,0146203;-0,0315381;0,0343708;-0,0262468;-0,0282075;-0,0049831;0,0163706;0,00335809;-0,0122825;-0,0159601;-0,0351607;-0,0101532;-0,0334664;-0,0154876;-0,0322249;-0,0314111;-0,0121141;-0,0144451;-0,0122783;-0,0225285;-0,0137062;-0,0392765;-0,0311555;-0,0125241;-0,0117966;-0,0592082;-0,0132708;-0,0204763;-0,0263042;-0,0376728;0;0,00492385;-0,0335225;-0,0156894
"OB_88";-0,0122771;-0,00614439;-0,0249996;-0,0197195;-0,00542028;-0,0293266;-0,0323769;0,0791187;0,0696285;0,00390489;-0,0389594;0,00389256;-0,00543656;0,00280045;0,0390245;-0,0295133;0,0428518;0,00561785;-0,0291047;-0,0297144;-0,04129;0,00078916;-0,0271173;-0,0149321;-0,00978259;-0,0170041;-0,0314988;-0,0193808;-0,0291082;0,0873213;-0,0102869;-0,0608586;-0,0165034;-0,0334681;-0,0142198;-0,0508306;0,0120951;-0,0549364;-0,0423093;-0,0485095;-0,0418242;-0,0418627;-0,017143;-0,0305114;-0,0332333;-0,045758;0,0676498;-0,0139136;-0,0483789;-0,0330374;0,0126378;-0,014225;-0,036702;0,00492385;0;-0,0194998;0,00751309
"OB_89";-0,0196459;-0,025153;0,0581966;0,024494;-0,0346334;-0,0274325;-0,0256738;-0,0266394;-0,0168522;-0,0290293;-0,0295133;-0,0451383;-0,0245191;-0,0289329;-0,0171837;-0,0334215;-0,0265771;-0,0425189;-0,0498168;-0,0110504;-0,0126963;-0,0212356;-0,0218142;-0,0459625;-0,0381886;-0,0310435;-0,0335214;-0,0111956;0,00202547;-0,0364398;-0,0187373;-0,0222806;-0,0311246;-0,00397644;0,085316;0,00505466;-0,00234106;0,00810441;0,0143533;-0,00563053;0,0136528;-0,00977663;-0,0170247;0,0543163;0,00320692;0,0333982;-0,0527812;0,0959007;0,00242355;0,00962192;-0,0067919;-0,0509277;0,0200749;-0,0335225;-0,0194998;0;-0,0316024
"OB_90";-0,0111218;-0,00161975;0,0132526;-0,0250247;-0,00978109;0,00127983;-0,0226126;0,00944398;0,0810989;-0,0281991;-0,0477188;-0,0172891;-0,014685;0,0178111;-0,0215937;-0,0186492;0,000374179;-0,0186419;-0,0241105;0,00406906;0,0141885;-0,0273489;0,00584857;-0,00254561;-0,0215125;0,0300944;-0,00207771;-0,0303151;-0,00618243;-0,0335299;0,0161313;0,0087502;-0,00247632;0,00612325;-0,00762222;-0,0280285;-0,015862;-0,0511084;-0,0332589;-0,00956411;-0,0278229;-0,0197733;0,0461797;-0,0297709;-0,0216933;-0,00722833;-0,00985499;-0,0115474;-0,0341028;-0,0128662;-0,038219;-0,00402588;-0,0150416;-0,0156894;0,00751309;-0,0316024;0
